elec_prod_name,elec_prod_smis,smiles_from_dataframe,total_charge,match_with_confs_optimized_by_orca,sanity
c5f790cc046bea5480370d7e6a212a56_elec_5,CC1=C[C-](Br)C(C)C=C1C(=O)N(C)CCNS(C)(=O)=O,[H]C1=C(C([H])([H])[H])C(C(=O)N(C([H])([H])[H])C([H])([H])C([H])([H])N([H])S(=O)(=O)C([H])([H])[H])=C([H])C([H])(C([H])([H])[H])[C-]1Br,-1,True,True
f18a372eecf4c2e0cb1f278acb3353b5_elec_8,CC1C=CC(CCNC(=O)C2(S(=O)(=O)c3ccc(Cl)cc3)CC2)=C[CH-]1,[H]C1=C([H])C([H])(C([H])([H])[H])[C-]([H])C([H])=C1C([H])([H])C([H])([H])N([H])C(=O)C1(S(=O)(=O)c2c([H])c([H])c(Cl)c([H])c2[H])C([H])([H])C1([H])[H],-1,True,True
62c1470a1de0ac783445ee42fffd36ba_elec_7,COC1=CC=C(Cl)C(C)[C-]1NC(=O)N1CCC(CN2CCc3ccccc3C2)CC1,[H]C1=C(OC([H])([H])[H])[C-](N([H])C(=O)N2C([H])([H])C([H])([H])C([H])(C([H])([H])N3C([H])([H])c4c([H])c([H])c([H])c([H])c4C([H])([H])C3([H])[H])C([H])([H])C2([H])[H])C([H])(C([H])([H])[H])C(Cl)=C1[H],-1,True,True
4cafeb170c12e7e27673b5269c4364bd_elec_20,COC1=CC(Cc2nnc(SCC(=O)Nc3cccc(OC)c3)o2)=C[CH-]C1(C)OC,[H]C1=C(OC([H])([H])[H])C(OC([H])([H])[H])(C([H])([H])[H])[C-]([H])C([H])=C1C([H])([H])c1nnc(SC([H])([H])C(=O)N([H])c2c([H])c([H])c([H])c(OC([H])([H])[H])c2[H])o1,-1,True,True
97241f7c3ed6533427ca11eed7e23656_elec_9,COC(=O)[C@@H](NC(=O)C1=NO[C-](COc2ccccc2)C1C)c1ccccc1,[H]c1c([H])c([H])c(OC([H])([H])[C-]2ON=C(C(=O)N([H])[C@]([H])(C(=O)OC([H])([H])[H])c3c([H])c([H])c([H])c([H])c3[H])C2([H])C([H])([H])[H])c([H])c1[H],-1,False,False
b92dbd8d7e45b6b8ec2ea9789e13fada_elec_13,CC1=C[CH-]C(C)(/C(=N/O)N2Cc3ccccc3C2)C(Oc2cccc(C)c2)=N1,[H]O/N=C(\N1C([H])([H])c2c([H])c([H])c([H])c([H])c2C1([H])[H])C1(C([H])([H])[H])C(Oc2c([H])c([H])c([H])c(C([H])([H])[H])c2[H])=NC(C([H])([H])[H])=C([H])[C-]1[H],-1,True,True
d6f41c2d5af0742bf3735d9e1846a629_elec_12,C[C@H]1CN(C)CCN1C1=CC=CC(C)(O)[CH-]1,[H]OC1(C([H])([H])[H])C([H])=C([H])C([H])=C(N2C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[C@]2([H])C([H])([H])[H])[C-]1[H],-1,True,True
0ac7c5a63f475f16f21b39f6e4c5757b_elec_24,CC1C=C2C(=CON=C2c2ccc(OCC(=O)O)cc2)[C-]1C(=O)c1ccc(Cl)cc1,[H]OC(=O)C([H])([H])Oc1c([H])c([H])c(C2=NOC([H])=C3C2=C([H])C([H])(C([H])([H])[H])[C-]3C(=O)c2c([H])c([H])c(Cl)c([H])c2[H])c([H])c1[H],-1,True,True
2bffbeb2a3a7d012bfb3c52f4991a95c_elec_22,CC1=C[C-](Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Br)N(C)N1,[H]C1=C(C([H])([H])[H])N([H])N(C([H])([H])[H])[C-]1N([H])c1nc(N([H])[C@]([H])(c2nc([H])c(F)c([H])n2)C([H])([H])[H])nc([H])c1Br,-1,True,True
ba2756983615cfb143d616a084e7fd02_elec_3,CCOC1(C)[CH-]C=CC=C1N1CCN(C(S)=Nc2ccc(S(N)(=O)=O)cc2)CC1,[H]SC(=Nc1c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c1[H])N1C([H])([H])C([H])([H])N(C2=C([H])C([H])=C([H])[C-]([H])C2(OC([H])([H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C1([H])[H],-1,False,False
