name,success,total_energy_kjmol,basis_set,functional,solvent_model,solvent_name,multiplicity,charge,nuc_sites,MCA Values [kJ/mol]
38c1a7480c542a902893db8e24e0a49c,True,-3588673.401080889,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,25,298.2302266964689
b4e4989bbfc7bd5b20b43f88ff1d7770,True,-4002883.280536974,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,18,94.55925428541377
f53159c4585e99e90754087d2cdee09a,True,-3277434.184976141,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,10,221.9890812537633
aa2e0e250dd116bbd04c22596b9f20ff,True,-2655829.286072825,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,8,195.09395775804296
31eb272fb448ddde51f9256b88b4fabb,True,-4966026.24626204,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,4,220.1878310535103
77ef1e11d27c5c51ee121e64d94910eb,True,-2515747.736733576,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,2,328.53822651831433
221920ba66a829ed346e627f6cac759e,True,-1207929.1401464627,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,8,406.06701406952925
d20907f2e9db714a25ac50ba8fcc9b12,True,-4214743.358107083,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,14,159.98903903644532
67ce42880099671401a15fffb1b80dfc,True,-3924458.375894276,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,27,300.41225309250876
5d5e486362abb5506b0110c3a230d4d2,True,-5237659.947181693,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,11,199.02412575110793
c3cf57755e6111a8cdf09fc14c3620fb,True,-2983636.6113843084,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,16,219.40254414640367
f3430d7f8ab7438e02babe2c5cae7e38,True,-2700121.0841016886,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,14,289.78804063331336
64ccbf6a5b12f56e7e68c01fcc586595,True,-2408724.212855508,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,9,241.8606443409808
d44a1dbfdb4232147020b4b735d611f4,True,-3260216.9220631053,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,19,305.0581795149483
0510e25c79fa29bb76d0c5423a93ee5f,True,-2800632.005195092,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,2,271.2904749591835
