name,success,total_energy_kjmol,basis_set,functional,solvent_model,solvent_name,multiplicity,charge,elec_sites,MAA Values [kJ/mol]
ecce1f5bcce79b5ab82d6e29ca3fb3de,True,-3914695.4494939703,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,7,35.89297421602532
ca7d5202d841cea25d7db41db12b473d,True,-3641231.942468904,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,3,-17.403747130185366
d9aa9ce572b8a53d6a02a60304984863,True,-5136762.164483755,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,10,22.853745906613767
cb18ce8e79b3d0228fd82d34bf5f8ad1,True,-2706481.565181572,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,10,128.11834190040827
8b9f178b996164a305c83f8d61e5c1e4,True,-4042188.1900208574,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,10,162.59569534752518
d1c512a4882de562b0c0edbaa18053d2,True,-2629053.432272079,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,2,21.59882277296856
21b0d719b31f4badf60e07dc2f516f06,True,-4397808.437741821,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,10,113.36014917027205
01779621b8ada6aa291fd8315f3482f4,True,-4112413.515415374,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,19,172.80922979768366
d5e94f2ffb7f055c1a74bb3b4cfbab7b,True,-2448472.6862164545,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,16,-32.304189424496144
ba30564fe3a29e8e50a2b968c20b2748,True,-4962774.215572865,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,10,136.7190346205607
265091b48c706cc6765ee99051ffe7b3,True,-3318458.1844321243,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,19,34.943882395047694
39cc8d5aeb31759a2fd1d97d573775a7,True,-4193973.903563281,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,21,59.3679067469202
1ca4e04ee94bb1c68b1005f972e0c8ba,True,-3274638.294107196,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,5,106.92053398583084
ef4aec3dc6271b95b4d6f341a794be04,True,-4492910.883619007,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,7,165.93848133739084
450a114a3f7cba1c58767acb39b6014b,True,-4055803.259452404,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,3,106.9803166105412
85c50b63e77530af954e56be0d2b03b4,True,-2110470.37938923,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,6,79.14383076224476
94665d9ac3e6d8ee9714e89f85a51aa7,True,-2755369.7070213878,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,3,49.7274663313292
f68c7c36804c9a5d3e73b1915cb511c2,True,-3149820.5519848177,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,6,84.4391692392528
9e09123d81036b08b666d9e251554c2a,True,-9181437.408206249,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,8,75.88245626166463
766abdc5a23bd19f206de4909333a335,True,-3515983.823135324,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,11,73.51470202952623
f58171fbcdf7c0c77ffaf9fed5d67139,True,-3615446.433362321,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,11,74.27643820643425
1473a90bdbc304c22f2041ad4ac499f4,True,-3288515.6342951967,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,6,48.42776530375704
196a3898f88619714af5668a9d1de8de,True,-3683922.601222912,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,15,-140.6996463369578
eda8884ca0225721acddd920ce026b90,True,-5397919.867773522,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,4,72.68614688981324
946b866d57527c12ff7dd7c4ba0c6a9c,True,-42403858.84898972,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,1,67.82768628746271
204a063a392a41db5ff0b9a1521e7ebb,True,-2971865.2218802734,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,20,28.931672278326005
748d03bdb26976a3aafc2c4b03eeafdd,True,-2756018.800735024,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,18,212.632281428203
43398b999f99b8216cb0b763813315c5,True,-3849730.580032656,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,9,72.58692926261574
19e6e32bc4a78ffaa20b3bcadeb5633e,True,-2611429.747987868,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,16,49.328513803426176
5c76aee0242ee9ac5c7deadd2e0b717c,True,-3136771.6558244294,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,11,-18.90374751575291
4b98e112f0ec37259a4fd3dc027b2eb5,True,-2207243.0059106546,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,7,71.41836143564433
03bb90f9bb2e3bbbe9ca51e58aad89c2,True,-2515442.7883248823,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,6,42.17808925639838
2c56648f3583df7180481c2c30261e37,True,-3265703.8796299207,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,10,6.753158901352435
4c96e89b7af064f75c690354538df5a4,True,-4892763.894959601,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,13,-18.719647489488125
bb1d6ae80f2b2300fd38c368ad5397bc,True,-5904601.460650458,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,1,93.56120477430522
7bba330dca76cab800a498db5f536a5a,True,-2761721.9092711625,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,19,116.70101854531094
68e8075c69bf08586e30a1161c7acac5,True,-2778499.7603403404,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,3,11.404231302440166
9efc60193774c3aa8f0adad4c545497c,True,-3690188.754642509,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,13,-68.33560229185969
de5178eb07a7f9ff643346ea33a054b9,True,-4478836.6661749,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,25,119.07328863721341
155bf8969f343cee91523c50e1a49428,True,-4162047.430105249,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,16,44.9813771029003
60d803eb826865fdf40683923cbd3634,True,-10277691.477409614,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,16,116.3536649607122
cc702891b1e4f22d579a7300327a810e,True,-3735032.638326008,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,5,149.70559541136026
